ticker,name,sector,market_cap,pe_ratio,pb_ratio,roe,profit_margin,revenue_growth,debt_to_equity,dividend_yield,current_price,52w_high,52w_low,eps,beta
CBA.AX,Commonwealth Bank of Australia,Financial Services,277020737536,26.677938,3.5868623,0.13644,0.36354,0.066,0.0,2.99,165.67,192.0,146.98,6.21,0.832
BHP.AX,BHP Group Limited,Basic Materials,303571238912,21.263346,4.27415,0.24712999,0.18972999,0.108,52.639,3.28,59.75,62.72,35.52,2.81,0.797
CSL.AX,CSL Limited,Healthcare,47776260096,11.559675,1.8395498,0.06662,0.09061,-0.018,54.438,4.27,99.76,275.79,93.64,8.63,0.145
WBC.AX,Westpac Banking Corporation,Financial Services,124814860288,18.004927,1.7151572,0.09803,0.31495002,0.015,0.0,4.21,36.55,43.32,31.12,2.03,0.751
ANZ.AX,ANZ Group Holdings Limited,Financial Services,106891575296,18.020304,1.5043648,0.082440004,0.27417,-0.021,0.0,4.68,35.5,41.0,27.85,1.97,0.574
WES.AX,Wesfarmers Limited,Consumer Cyclical,84782907392,27.65926,10.791907,0.3639,0.065960005,0.031,161.507,2.85,74.68,95.175,70.8,2.7,0.801
TLS.AX,Telstra Group Limited,Communication Services,60199604224,26.9,4.5826235,0.14753,0.097950004,0.003,119.144,3.9,5.38,5.58,4.67,0.2,0.13
RIO.AX,Rio Tinto Group,Basic Materials,300530958336,21.691313,3.4629245,0.16399999,0.17291,0.146,35.432,3.19,184.81,192.68,100.75,8.52,0.63
FMG.AX,Fortescue Ltd,Basic Materials,66197745664,12.6470585,2.2814066,0.18691999,0.22849001,0.105,27.799,5.77,21.5,23.38,14.31,1.7,0.714
MQG.AX,Macquarie Group Limited,Financial Services,91549442048,24.737383,2.5415568,0.112069994,0.21123,0.058,0.0,3.43,240.2,249.49,187.31,9.71,0.879
AAPL,Apple Inc.,Technology,4535749181440,37.432728,42.53719,1.4147099,0.27152002,0.166,79.548,0.35,308.82,311.4,195.07,8.25,1.065
MSFT,Microsoft Corporation,Technology,3109320130560,24.944576,7.504348,0.34013999,0.39341998,0.183,30.271,0.87,418.57,555.45,356.28,16.78,1.093
GOOGL,Alphabet Inc.,Communication Services,4639851282432,29.23435,9.692008,0.38884997,0.37919,0.218,20.026,0.23,382.97,408.61,162.0,13.1,1.267
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2864833626112,31.629454,6.4809093,0.24285,0.12224,0.166,53.3,0.0,266.32,278.56,196.0,8.42,1.468
NVDA,NVIDIA Corporation,Technology,5215507972096,33.026073,33.27101,1.14288,0.62966,0.852,6.555,0.02,215.33,236.54,132.92,6.52,2.244
JPM,JPMorgan Chase & Co.,Financial Services,820948697088,14.65933,2.3865275,0.16465001,0.33936,0.127,0.0,1.96,306.38,337.25,260.31,20.9,1.023
JNJ,Johnson & Johnson,Healthcare,564107214848,27.185616,6.9464946,0.26416,0.21834,0.099,67.73,2.29,234.34,251.71,149.04,8.62,0.263
XOM,Exxon Mobil Corporation,Energy,642135228416,26.12479,2.4959319,0.09873,0.077649996,0.026,18.261,2.66,154.92,176.41,101.19,5.93,0.183
BRK-B,Berkshire Hathaway Inc.,Financial Services,1049050546176,14.471288,0.000962063,0.10499,0.19305,0.044,17.669,0.0,486.38,516.85,455.19,33.61,0.622
V,Visa Inc.,Financial Services,625445502976,28.648085,16.416092,0.60349,0.51679003,0.171,67.233,0.81,328.88,375.51,293.89,11.48,0.784
