ticker,name,price,change,change_pct,volume,day_high,day_low,previous_close,market_open,currency,timestamp
CBA.AX,Commonwealth Bank,165.02,3.61,2.24,9525715,165.02,161.5,161.41,False,AUD,2026-05-30 14:59:53
BHP.AX,BHP Group,62.31,1.76,2.91,21900431,62.33,61.39,60.55,False,AUD,2026-05-30 14:59:53
CSL.AX,CSL Limited,96.61,-0.98,-1.0,4418431,97.56,95.16,97.59,False,AUD,2026-05-30 14:59:54
WBC.AX,Westpac,36.0,0.08,0.22,12291599,36.21,35.85,35.92,False,AUD,2026-05-30 14:59:54
ANZ.AX,ANZ Bank,35.2,0.31,0.89,14373154,35.46,34.94,34.89,False,AUD,2026-05-30 14:59:55
WES.AX,Wesfarmers,79.79,1.31,1.67,4974731,79.79,78.51,78.48,False,AUD,2026-05-30 14:59:55
TLS.AX,Telstra,5.21,-0.02,-0.38,40398579,5.23,5.19,5.23,False,AUD,2026-05-30 14:59:55
RIO.AX,Rio Tinto,185.63,2.17,1.18,1999766,187.55,184.8,183.46,False,AUD,2026-05-30 14:59:56
FMG.AX,Fortescue Metals,22.31,0.53,2.43,12885891,22.44,21.88,21.78,False,AUD,2026-05-30 14:59:56
MQG.AX,Macquarie Group,238.55,2.49,1.05,1529358,239.0,235.84,236.06,False,AUD,2026-05-30 14:59:57
AAPL,Apple,312.06,-0.45,-0.14,56454230,315.0,309.53,312.51,False,USD,2026-05-30 14:59:57
MSFT,Microsoft,450.24,23.25,5.45,77168677,450.33,432.36,426.99,False,USD,2026-05-30 14:59:57
GOOGL,Alphabet,380.34,-9.79,-2.51,44249622,385.24,378.46,390.13,False,USD,2026-05-30 14:59:58
AMZN,Amazon,270.64,-3.36,-1.23,54582943,274.75,269.64,274.0,False,USD,2026-05-30 14:59:58
NVDA,Nvidia,211.14,-3.11,-1.45,230465710,217.86,211.13,214.25,False,USD,2026-05-30 14:59:59
JPM,JPMorgan Chase,299.31,2.58,0.87,7239863,299.6,295.23,296.73,False,USD,2026-05-30 14:59:59
JNJ,Johnson and Johnson,225.33,-5.47,-2.37,6188580,231.48,224.59,230.8,False,USD,2026-05-30 15:00:00
XOM,ExxonMobil,145.26,-1.7,-1.16,11148037,146.92,144.71,146.96,False,USD,2026-05-30 15:00:00
BRK-B,Berkshire Hathaway,474.48,-2.94,-0.62,4085243,477.06,472.29,477.42,False,USD,2026-05-30 15:00:00
V,Visa,326.36,1.41,0.43,6048834,331.67,325.35,324.95,False,USD,2026-05-30 15:00:01
